Category,Name,Platform,Handle/URL,Followers,Email,Contact Method,Status,Last Contact,Notes
RAP MEDIA PAGE,RapTV,Instagram/X/Web,@rap / raptv.com,13M+ (IG),sales@raptvlive.com,Email,Not Started,,"Biggest rap news page. Also: info@raptvlive.com, marketing@raptvlive.com"
RAP MEDIA PAGE,No Jumper,YouTube/IG/Web,@nojumper / nojumper.com,5M+ (YT),adam@nojumper.com,Email,Not Started,,"Adam22's direct email. Also: kim@nojumper.com. Contact page: nojumper.com/pages/contact"
RAP MEDIA PAGE,DJ Akademiks,YouTube/IG/Rumble,@akademiks,5.2M (IG),AkademiksTV@gmail.com,Email,Not Started,,"Top 3 hip hop media. 51K+ posts. Also try: AkademiksTV@outlook.com. Agent: Oren R."
RAP MEDIA PAGE,Say Cheese TV,YouTube/IG,@saycheesetv,3M+ (IG),teamsaycheese@gmail.com,Email,Not Started,,Major hip hop news page.
RAP MEDIA PAGE,WorldstarHipHop,Web/IG/YouTube,@worldstar / worldstarhiphop.com,30M+ (IG),social@worldstarhiphop.com,Email,Not Started,,"Also: dmca@worldstarhiphop.com. Submit form: contact.worldstar.com. Phone: (888) 233-6119"
RAP MEDIA PAGE,The Shade Room,IG/Web,@theshaderoom / theshaderoom.com,28M+ (IG),contact@theshaderoom.com,Email,Not Started,,"Celebrity/hip hop culture. Phone: (323) 487-7858. Staff emails: First@theshaderoom.com"
RAP MEDIA PAGE,VladTV,YouTube/Web,@vladtv / vladtv.com,5M+ (YT),submit@vladtv.com,Email,Not Started,,"Big 3 hip hop media. Business: ea@vladtv.com, kentay@vladtv.com. Phone: (818) 927-1110"
RAP MEDIA PAGE,On Thin Ice,IG/X,@onthinice,2M+ (IG),,DM / IG bio,Not Started,,Rap news/culture page. Check bio for business email.
RAP MEDIA PAGE,Rap Alert,IG/X,@rapalert2.0 / @rapalert6,113K+ (IG),rapalert@yahoo.com,Email,Not Started,,Breaking rap news. Also: @rapalert3.0 (backup). DM for promo on IG.
RAP MEDIA PAGE,Rap Is Outta Control,IG/Radio,@rapisouttacntrl,,rapisouttacontrol@gmail.com,Email,Not Started,,Also broadcasts on Shade 45 Sirius XM
RAP MEDIA PAGE,Save The Hip Hop Culture,IG,@savethehiphopculture,98K,,DM / IG bio,Not Started,,Culture/nostalgia page
CONTENT PLATFORM,Lyrical Lemonade,YouTube/IG/Web,@lyaborhood / lyricallemonade.com,20M+ (YT),info@thesummersmash.com,Email,Not Started,,"Cole Bennett. Also: media@thesummersmash.com, sponsors@thesummersmash.com. Contact page: blog.lyricallemonade.com/contact"
CONTENT PLATFORM,Elevator,Web/YouTube/IG,@elevator_ / elevatormag.com,2M+ (IG),info@elevatormag.com,Email,Not Started,,"Also: editor@elevatormag.com. All staff have @elevatormag.com emails"
CONTENT PLATFORM,KidsTakeOver,IG/YouTube,@kidstakeover / kidstakeover.ca,500K+ (IG),,DM / Website,Not Started,,"Run by @ktoarshan. Similar to Sean's 2016vault concept"
CONTENT PLATFORM,YourMultimedia,IG/YouTube,@yourmultimedia,,,,Not Started,,Underground rap video platform. Check IG bio for contact.
EDITORIAL,Pitchfork,Web,pitchfork.com,,pitchfork@condenast.com,Email,Not Started,,Send press releases. Now under Conde Nast / GQ.
EDITORIAL,Complex,Web/YouTube,complex.com / @complex,,,,Not Started,,"Contact page: complex.com/contact. Pigeons & Planes (music arm) accepts submissions"
EDITORIAL,HotNewHipHop,Web/IG,hotnewhiphop.com / @hotnewhiphop,8M+ monthly visitors,staff@hotnewhiphop.com,Email,Not Started,,"Editorial team. Also: artistpromo@hotnewhiphop.com (submissions), support@hotnewhiphop.com"
EDITORIAL,HipHopDX,Web/YouTube,hiphopdx.com / @hiphopdx,,,,Not Started,,Active since 1999. Contact page on website.
EDITORIAL,XXL,Web/IG,xxlmag.com / @xxl,,,Website / DM,Not Started,,Freshman list. Check xxlmag.com for press contact.
EDITORIAL,The Source,Web,thesource.com,,,,Not Started,,OG hip hop magazine. Contact: thesource.com/get-in-touch/
EDITORIAL,2DopeBoyz,Web,2dopeboyz.com,,2dbz.music@gmail.com,Email,Not Started,,Contact page: 2dopeboyz.com/contact-us/
