Category,Name,Platform,Handle/URL,Followers,Email,Contact Method,Status,Notes
STREETWEAR MEDIA,Hypebeast,Web/IG/YouTube,hypebeast.com / @hypebeast,13M+ (IG),,Contact form: hypebeast.com/advertise,Not Started,"Biggest streetwear publication. Media kit via hypebeast.com/contact. Founded 2005, NYC/HK."
STREETWEAR MEDIA,Highsnobiety,Web/IG/YouTube,highsnobiety.com / @highsnobiety,5M+ (IG),info@highsnobiety.com,Email,Not Started,"Berlin-based. Brand partnerships via company.highsnobiety.com/contact. NYC office handles US partnerships."
STREETWEAR MEDIA,Complex Style,Web/IG,complex.com/style / @complexstyle,3M+ (IG),info@complex.com,Email,Not Started,"Complex's fashion vertical. Phone: (917) 793-0438. Also: support@complex.com. Ad formats: display, native, social, video."
STREETWEAR MEDIA,PAUSE Magazine,Web/IG,pausemag.co.uk / @pausemag,400K+ (IG),,Contact form on site,Not Started,"London-based, founded 2011. Independent digital platform. Covers celeb streetwear, drops, collabs. Contact via pausemag.co.uk/about."
STREETWEAR MEDIA,Modern Notoriety,Web/IG,modernnotoriety.com / @modernnotoriety,200K+ (IG),,DM / Website,Not Started,"Sneaker news, streetwear drops, collabs, archive culture. Check site for contact."
STREETWEAR MEDIA,The Trend Spotter,Web/IG,thetrendspotter.net / @thetrendspotter,1M+ (IG),,Website contact form,Not Started,"Founded 2012. Celebrity fashion, trend coverage, style guides. Accepts sponsored content."
STREETWEAR MEDIA,Sole Collector,Web/IG,solecollector.com / @solecollector,2M+ (IG),,Via Complex (parent),Not Started,"Part of Complex network. Sneaker-focused but covers celebrity streetwear. Founded 2003."
STREETWEAR MEDIA,Nice Kicks,Web/IG/YouTube,nicekicks.com / @nicekicks,2.5M+ (IG),info@nicekicks.com,Email,Not Started,"Sneaker news + streetwear drops. Austin-based. Check nicekicks.com/contact for ad inquiries."
STREETWEAR MEDIA,Sneaker News,Web/IG,sneakernews.com / @sneakernews,4M+ (IG),,Website contact,Not Started,"Massive sneaker/streetwear coverage. Celebrity outfit spotting. Check sneakernews.com for contact."
STREETWEAR MEDIA,KicksOnFire,Web/IG/App,kicksonfire.com / @kicksonfire,1.5M+ (IG),info@kicksonfire.com,Email,Not Started,"Sneaker news + drops + celebrity style. Founded by Khan Furqan."
STREETWEAR MEDIA,The Sole Supplier,Web/IG,thesolesupplier.co.uk / @thesolesupplier,1M+ (IG),,Website contact,Not Started,"UK-based. Sneaker drops, streetwear news. Covers celebrity fits."
STREETWEAR MEDIA,Hypebae,Web/IG,hypebae.com / @hypebae,2M+ (IG),,Via Hypebeast (parent),Not Started,"Women's streetwear arm of Hypebeast. Same ad infrastructure."
CELEB FASHION BLOG,UpscaleHype,Web/IG,upscalehype.com / @upscalehype,500K+ (IG),uhpromote@gmail.com,Email,Not Started,"Founded 2008. Celebrity fashion + high-end streetwear spotting. Paid promo via uhpromote@gmail.com."
CELEB FASHION BLOG,What's On The Star,Web/IG,whatsonthestar.com / @whatsonthestar,300K+ (IG),,DM / Website,Not Started,"Celebrity outfit ID. Tracks what rappers, models, athletes wear. Check site for contact."
CELEB FASHION BLOG,Steal Her Style,Web/IG,stealherstyle.net / @stealherstyle,500K+ (IG),,Website contact,Not Started,"Celebrity outfit breakdowns. Covers female celeb streetwear. Good for placement if women's angle needed."
CELEB FASHION BLOG,CelebStyle Guide,IG/LTK,@celebstyleguide,445K (IG),,DM / LTK,Not Started,"Run by Heather Campbell Green. Celebrity outfit IDs + shopping links. Monetizes via affiliate."
